Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,FastFood4U ID,Integration,Owned By,Comment,Comment
3157993,payment,payment,,,,epic,,,"Nov 19, 2016",,,,,https://www.pivotaltracker.com/epic/show/3157993,,,,,
3157991,login,login,,,,epic,,,"Nov 19, 2016",,,,,https://www.pivotaltracker.com/epic/show/3157991,,,,,
3141735,order,order,,,,epic,,,"Nov 13, 2016",,,,,https://www.pivotaltracker.com/epic/show/3141735,,,,,
3141683,menu,menu,,,,epic,,,"Nov 13, 2016",,,,website for a restaurant to improve their business,https://www.pivotaltracker.com/epic/show/3141683,,,,,
3141733,home,home,,,,epic,,,"Nov 13, 2016",,,,,https://www.pivotaltracker.com/epic/show/3141733,,,,,
134634943,delete order,order,1,"Nov 14, 2016","Nov 20, 2016",feature,1,rejected,"Nov 19, 2016",,,john tan yu quan,,https://www.pivotaltracker.com/story/show/134634943,,,john tan yu quan,"hi
 (Lim Hao Wen - Nov 19, 2016)","can you see my comment? (Lim Hao Wen - Nov 19, 2016)"
134634939,search order,order,1,"Nov 14, 2016","Nov 20, 2016",feature,1,rejected,"Nov 19, 2016",,,john tan yu quan,,https://www.pivotaltracker.com/story/show/134634939,,,john tan yu quan
134237175,update order,order,1,"Nov 14, 2016","Nov 20, 2016",feature,0,rejected,"Nov 13, 2016",,,john tan yu quan,,https://www.pivotaltracker.com/story/show/134237175,,,john tan yu quan
134237165,add order,order,1,"Nov 14, 2016","Nov 20, 2016",feature,0,unstarted,"Nov 13, 2016",,,john tan yu quan,,https://www.pivotaltracker.com/story/show/134237165,,,
134236979,add dish,menu,1,"Nov 14, 2016","Nov 20, 2016",feature,1,unstarted,"Nov 13, 2016",,,john tan yu quan,,https://www.pivotaltracker.com/story/show/134236979,,,
134634913,search dish,menu,1,"Nov 14, 2016","Nov 20, 2016",feature,0,unstarted,"Nov 19, 2016",,,john tan yu quan,,https://www.pivotaltracker.com/story/show/134634913,,,
134236993,update dish,menu,1,"Nov 14, 2016","Nov 20, 2016",feature,1,unstarted,"Nov 13, 2016",,,john tan yu quan,,https://www.pivotaltracker.com/story/show/134236993,,,
134637071,search member,home,1,"Nov 14, 2016","Nov 20, 2016",feature,0,unstarted,"Nov 19, 2016",,,john tan yu quan,,https://www.pivotaltracker.com/story/show/134637071,,,
134236937,add member,home,1,"Nov 14, 2016","Nov 20, 2016",feature,0,unstarted,"Nov 13, 2016",,,john tan yu quan,,https://www.pivotaltracker.com/story/show/134236937,,,
134637029,update member,home,1,"Nov 14, 2016","Nov 20, 2016",feature,0,unstarted,"Nov 19, 2016",,,john tan yu quan,,https://www.pivotaltracker.com/story/show/134637029,,,
134634931,delete dish,menu,1,"Nov 14, 2016","Nov 20, 2016",feature,0,unstarted,"Nov 19, 2016",,,john tan yu quan,,https://www.pivotaltracker.com/story/show/134634931,,,
134637095,validate password,login,1,"Nov 14, 2016","Nov 20, 2016",feature,0,unstarted,"Nov 19, 2016",,,john tan yu quan,,https://www.pivotaltracker.com/story/show/134637095,,,
134637085,validate user type,login,1,"Nov 14, 2016","Nov 20, 2016",feature,0,unstarted,"Nov 19, 2016",,,john tan yu quan,,https://www.pivotaltracker.com/story/show/134637085,,,
134637187,add payment,payment,1,"Nov 14, 2016","Nov 20, 2016",feature,0,unstarted,"Nov 19, 2016",,,john tan yu quan,,https://www.pivotaltracker.com/story/show/134637187,,,
134637297,update payment status,payment,1,"Nov 14, 2016","Nov 20, 2016",feature,0,unstarted,"Nov 19, 2016",,,john tan yu quan,,https://www.pivotaltracker.com/story/show/134637297,,,
134637193,search payment,payment,1,"Nov 14, 2016","Nov 20, 2016",feature,0,unstarted,"Nov 19, 2016",,,john tan yu quan,,https://www.pivotaltracker.com/story/show/134637193,,,
